V1,Date_Deb_Situ,ANNEE,Date_Fin_Situ,IDA,Responsabilite_IDA,ANNEE_CLOTURE,CHARGE_SINISTRE,Num_contrat,IMMAT
5494,2013-12-01,2013,2013-12-31,1,0,2014,203.474816112356,16392,76995
5495,2013-05-01,2013,2013-11-11,0,0,2014,493.758943008107,16393,76997
5496,2013-08-30,2013,2013-12-31,0,0,2014,1033.78959835705,16420,77087
5498,2013-01-01,2013,2013-06-29,1,0,2013,23.7125010831224,16432,77127
5500,2013-08-04,2013,2013-12-31,1,0,2014,44.0944736050244,16438,77141
5501,2013-07-03,2013,2013-12-31,0,0,2014,918.924087428492,16439,77149
5504,2012-06-01,2012,2012-12-31,0,0,2014,140.119324582087,16465,77231
5505,2013-01-01,2013,2013-04-30,0,0,2013,861.798516637333,16470,77257
5506,2012-05-01,2012,2012-12-31,0,0,2012,1310.51448599709,16471,77264
5508,2012-06-01,2012,2012-12-31,0,0,2013,567.181469089121,16490,77345
5509,2012-06-01,2012,2012-12-31,0,0,2012,1815.94644658384,16491,77352
5510,2012-06-01,2012,2012-12-31,0,0,2012,2228.45773815351,16491,77353
5511,2012-07-16,2012,2012-12-31,1,0,2013,-569.90840671368,16492,77355
5515,2013-07-03,2013,2013-09-26,0,0,2014,115.415209817307,16506,77419
